row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,5.82e+03 [3.86e+03-7.58e+03],5.33e+03 [4.13e+03-7.34e+03],5.31e+03 [3.77e+03-7.16e+03],3.31e+03 [2.53e+03-4.96e+03],1.05e+03 [888-1.36e+03],619 [468-876]
q=2,twin,7.5e+03 [6.21e+03-1.13e+04],6.21e+03 [4.28e+03-8.59e+03],2.36e+03 [1.81e+03-3.31e+03],3.89e+03 [2.96e+03-5.09e+03],2.04e+03 [1.64e+03-2.8e+03],818 [694-951]
q=4,physics,4.11e+03 [2.92e+03-7.33e+03],3.71e+03 [2.99e+03-7.47e+03],3.59e+03 [2.65e+03-6.81e+03],2.8e+03 [2.15e+03-3.27e+03],1.08e+03 [1.03e+03-1.19e+03],289 [266-358]
q=4,twin,6.12e+03 [3.71e+03-1.18e+04],5.92e+03 [2.67e+03-1.01e+04],2.2e+03 [1.73e+03-3.45e+03],3.91e+03 [3.18e+03-4.73e+03],1.96e+03 [1.51e+03-3.18e+03],656 [498-844]
q=6,physics,4.9e+03 [2.9e+03-8.03e+03],4.68e+03 [3.09e+03-8.42e+03],4.63e+03 [2.87e+03-7.54e+03],2.85e+03 [1.93e+03-3.6e+03],992 [729-1.23e+03],285 [240-303]
q=6,twin,4.97e+03 [3.65e+03-7.86e+03],3.78e+03 [3.31e+03-7.64e+03],2.2e+03 [1.64e+03-2.41e+03],3.95e+03 [3.08e+03-4.22e+03],1.66e+03 [1.15e+03-2.79e+03],743 [666-906]
q=8,physics,4.31e+03 [3.11e+03-6.2e+03],4.51e+03 [2.86e+03-5.47e+03],4.5e+03 [3.03e+03-5.05e+03],3.25e+03 [2.11e+03-3.84e+03],1.01e+03 [803-1.19e+03],276 [225-325]
q=8,twin,5.85e+03 [3.27e+03-7.21e+03],4.46e+03 [2.82e+03-5.98e+03],2.14e+03 [1.49e+03-2.6e+03],3.59e+03 [2.18e+03-5.27e+03],1.73e+03 [1.47e+03-2.16e+03],637 [509-787]
q=10,physics,7.06e+03 [4.37e+03-1.12e+04],6.62e+03 [3.88e+03-1.11e+04],6.24e+03 [4.02e+03-1e+04],4.01e+03 [2.6e+03-4.83e+03],1.2e+03 [803-1.32e+03],284 [212-340]
q=10,twin,4.07e+03 [2.22e+03-6.61e+03],3e+03 [1.61e+03-7.08e+03],1.81e+03 [1.03e+03-2.47e+03],2.81e+03 [1.92e+03-5.92e+03],1.8e+03 [1.36e+03-1.95e+03],750 [618-852]
q=12,physics,5.75e+03 [3.09e+03-1.12e+04],5.09e+03 [3.23e+03-1.14e+04],4.6e+03 [3.27e+03-1.07e+04],4.06e+03 [3.01e+03-6.35e+03],1.04e+03 [816-1.18e+03],264 [199-315]
q=12,twin,3.84e+03 [2.62e+03-5.81e+03],3.07e+03 [1.81e+03-4.63e+03],1.84e+03 [1.25e+03-2.19e+03],3.95e+03 [1.97e+03-5.1e+03],1.35e+03 [1.14e+03-1.68e+03],695 [641-792]
q=14,physics,4.34e+03 [2.83e+03-6.18e+03],4.46e+03 [2.87e+03-5.82e+03],4.27e+03 [3.07e+03-5.71e+03],2.98e+03 [2.35e+03-5.11e+03],1.11e+03 [790-1.34e+03],258 [223-293]
q=14,twin,4.06e+03 [2.29e+03-6.14e+03],3.56e+03 [1.89e+03-4.95e+03],1.98e+03 [1.45e+03-2.96e+03],3.38e+03 [2.58e+03-4.53e+03],1.93e+03 [1.36e+03-2.52e+03],744 [654-985]
q=16,physics,4.67e+03 [3.37e+03-6.68e+03],4.74e+03 [3.38e+03-6.29e+03],4.5e+03 [3.45e+03-5.75e+03],3.24e+03 [2.62e+03-3.73e+03],1e+03 [758-1.32e+03],289 [241-317]
q=16,twin,4e+03 [1.91e+03-8.52e+03],2.98e+03 [1.92e+03-6.82e+03],1.78e+03 [1.36e+03-3.1e+03],2.51e+03 [1.96e+03-3.22e+03],1.98e+03 [1.13e+03-2.72e+03],812 [719-1.06e+03]
q=18,physics,5.2e+03 [4.02e+03-1.22e+04],4.48e+03 [3.84e+03-1.21e+04],4.43e+03 [3.62e+03-1.12e+04],3.88e+03 [2.61e+03-5.18e+03],1.04e+03 [724-1.28e+03],276 [238-291]
q=18,twin,4.43e+03 [2.93e+03-1.09e+04],4.56e+03 [2.08e+03-5.59e+03],1.49e+03 [892-2.5e+03],2.68e+03 [1.59e+03-3.94e+03],1.58e+03 [1.28e+03-2.62e+03],822 [616-1.06e+03]
q=20,physics,5.27e+03 [3.61e+03-7.82e+03],5.03e+03 [3.47e+03-7.55e+03],4.91e+03 [3.14e+03-7.16e+03],3.53e+03 [2.39e+03-4.43e+03],1.22e+03 [836-1.42e+03],325 [257-377]
q=20,twin,3.59e+03 [1.85e+03-8.91e+03],3.43e+03 [2.01e+03-8.1e+03],1.64e+03 [1.11e+03-2.11e+03],2.4e+03 [1.65e+03-4.01e+03],1.89e+03 [1.5e+03-2.83e+03],840 [659-951]
straight line,straight line,1493,1405,1405,1405,1405,1405
material floor,material floor,767.5,745.2,745.2,745.2,745.2,745.2
reference floor,reference floor,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05
