row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,1.81e+05 [1.22e+05-2.04e+05],1.73e+05 [1.3e+05-2.08e+05],1.29e+05 [9.99e+04-1.48e+05],1.25e+04 [1.01e+04-1.85e+04],2.55e+03 [1.8e+03-3.12e+03],8.93e+03 [4.54e+03-2.66e+04]
q=2,twin,6.12e+04 [4.23e+04-8.22e+04],2.34e+03 [2.01e+03-3.08e+03],2.15e+03 [1.82e+03-3.41e+03],2.88e+03 [2.58e+03-4.45e+03],3.96e+03 [2.71e+03-8.11e+03],2.37e+03 [1.93e+03-3.13e+03]
q=4,physics,2.02e+05 [1.59e+05-2.38e+05],1.98e+05 [1.53e+05-2.64e+05],1.61e+05 [1.22e+05-2.05e+05],1.63e+04 [9.51e+03-2.36e+04],2.32e+03 [2.07e+03-2.62e+03],3.68e+03 [2.82e+03-5.36e+03]
q=4,twin,5.26e+04 [2.77e+04-1.31e+05],2.59e+03 [1.38e+03-6.3e+03],2.48e+03 [1.92e+03-3.79e+03],2.73e+03 [2.17e+03-3.25e+03],3.56e+03 [2.69e+03-7.9e+03],3.09e+03 [2.13e+03-5.32e+03]
q=6,physics,1.93e+05 [1.31e+05-2.37e+05],1.91e+05 [1.28e+05-2.4e+05],1.51e+05 [1.08e+05-1.78e+05],1.46e+04 [1.29e+04-2.41e+04],2.64e+03 [2.21e+03-2.84e+03],698 [589-816]
q=6,twin,1.02e+05 [2.11e+04-2.27e+05],3.91e+03 [1.66e+03-8.72e+03],2.98e+03 [1.69e+03-4.73e+03],3.57e+03 [1.5e+03-6.86e+03],6.76e+03 [2.8e+03-1.41e+04],4.56e+03 [2.79e+03-7.15e+03]
q=8,physics,2.73e+05 [2.26e+05-3.96e+05],2.67e+05 [2.46e+05-4.06e+05],2.03e+05 [1.91e+05-2.83e+05],1.34e+04 [9.7e+03-2.42e+04],2.46e+03 [1.75e+03-3.25e+03],723 [560-851]
q=8,twin,8.66e+04 [3.44e+04-1.8e+05],3.59e+03 [2.17e+03-8.32e+03],3.27e+03 [1.92e+03-5.66e+03],4.04e+03 [2.53e+03-8.56e+03],7.61e+03 [6.62e+03-1.12e+04],3.85e+03 [3.08e+03-1.05e+04]
q=10,physics,3.1e+05 [2.1e+05-5.83e+05],3.17e+05 [2.05e+05-5.16e+05],2.45e+05 [1.58e+05-3.83e+05],1.35e+04 [8.59e+03-1.81e+04],2.8e+03 [2.08e+03-2.95e+03],715 [636-849]
q=10,twin,6.74e+04 [4.29e+04-1.72e+05],4.44e+03 [2.54e+03-7.08e+03],2.84e+03 [2.6e+03-4.01e+03],3.49e+03 [2.04e+03-4.18e+03],7.32e+03 [6.7e+03-1.15e+04],4.19e+03 [2.07e+03-6.14e+03]
q=12,physics,1.56e+05 [1.37e+05-2.99e+05],1.46e+05 [1.34e+05-3.21e+05],1.2e+05 [1.08e+05-2.52e+05],1.41e+04 [9.97e+03-1.9e+04],2.62e+03 [1.89e+03-3.25e+03],646 [534-917]
q=12,twin,7.49e+04 [4.05e+04-1.07e+05],4.85e+03 [3.52e+03-6.22e+03],4.45e+03 [2.92e+03-7.59e+03],4.06e+03 [2.7e+03-5.14e+03],1.04e+04 [5.23e+03-1.33e+04],5.07e+03 [3.47e+03-6.47e+03]
q=14,physics,1.52e+05 [1.22e+05-5.14e+05],1.58e+05 [1.2e+05-4.99e+05],1.24e+05 [9.44e+04-2.97e+05],1.49e+04 [1.29e+04-2.27e+04],2.71e+03 [1.95e+03-3.52e+03],727 [675-840]
q=14,twin,5.67e+04 [4.42e+04-2e+05],3.34e+03 [2.2e+03-6.89e+03],3.16e+03 [2.52e+03-4.93e+03],3.43e+03 [2.37e+03-4.16e+03],8.56e+03 [6.35e+03-9.8e+03],4.55e+03 [3.46e+03-1.01e+04]
q=16,physics,2.12e+05 [1.67e+05-2.65e+05],2.05e+05 [1.73e+05-2.61e+05],1.56e+05 [1.38e+05-2.04e+05],1.59e+04 [1.04e+04-2.33e+04],2.73e+03 [2.04e+03-3.06e+03],655 [537-772]
q=16,twin,5.78e+04 [2.56e+04-1.82e+05],3.16e+03 [1.87e+03-7.8e+03],3.68e+03 [2.49e+03-5.89e+03],3.27e+03 [2.51e+03-5.2e+03],7.73e+03 [5.71e+03-1.16e+04],3.63e+03 [2.78e+03-6.56e+03]
q=18,physics,1.71e+05 [1.35e+05-2.52e+05],1.65e+05 [1.33e+05-2.53e+05],1.25e+05 [1.1e+05-1.94e+05],1.26e+04 [1.06e+04-2.72e+04],2.4e+03 [1.97e+03-2.73e+03],699 [593-731]
q=18,twin,9.55e+04 [4e+04-2.45e+05],3.04e+03 [2.17e+03-5.33e+03],2.87e+03 [2.28e+03-3.77e+03],2.6e+03 [2.36e+03-2.97e+03],9.23e+03 [5.46e+03-1.41e+04],3.48e+03 [2.34e+03-4.69e+03]
q=20,physics,2.07e+05 [1.56e+05-2.23e+05],2.03e+05 [1.52e+05-2.12e+05],1.51e+05 [1.13e+05-1.64e+05],1.36e+04 [1.1e+04-2.15e+04],2.41e+03 [2.22e+03-2.66e+03],666 [615-846]
q=20,twin,1.18e+05 [9.02e+04-1.88e+05],3.27e+03 [2.52e+03-4.61e+03],3.03e+03 [2.31e+03-4.14e+03],3.22e+03 [2.24e+03-4.54e+03],7.76e+03 [6.25e+03-1.79e+04],4.4e+03 [1.76e+03-5.58e+03]
straight line,straight line,4.891e+05,4.783e+05,4.783e+05,4.783e+05,4.783e+05,4.783e+05
material floor,material floor,1135,1114,1114,1114,1114,1114
reference floor,reference floor,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05
