quantity,field,median_um,min_um,max_um,n_seeds,note
"network, physics loss (label-free)",up,229.4,170.6,296.5,10,this experiment; converged 10/10; restarts 114-154
"network, physics loss (label-free)",down,220.8,163.0,243.8,10,A1 Network_size_and_seed_study 50x4; converged 5/10
"network, physics loss (label-free), converged only",down,232.7,213.2,243.8,5,"A1 50x4, the runs that confirmed"
"network, physics loss (label-free)",down,182.7,177.4,235.4,3,"One_step_network_v2 baseline, 3 seeds, 4 BLAS threads"
"network, data loss (supervised twin)",up,204.2,186.7,230.1,3,this experiment; converged 3/3; restarts 94-134
"network, data loss (supervised twin)",down,191.8,162.4,207.5,3,"One_step_network_v2 baseline, 3 seeds, 4 BLAS threads"
"exact-scheme ceiling, on the test states",up,22.1,22.1,1544.6,2033,"q=8, all test states; max_um column is the p95; solved 100%"
"exact-scheme ceiling, on the test states",down,22.5,22.5,1609.9,2018,"q=8, all test states; max_um column is the p95; solved 100%"
"exact-scheme ceiling, 32 stratified legs",up,33.2,33.2,37836.7,32,the Simple_first_pass population; max_um is the worst state; solved 32/32
"exact-scheme ceiling, 32 stratified legs",down,32.0,32.0,258429.2,32,the Simple_first_pass population; max_um is the worst state; solved 31/32
straight line (no bending at all),up,525183.7,525183.7,525183.7,1,the trivial baseline
straight line (no bending at all),down,520444.3,520444.3,520444.3,1,the trivial baseline
physics network / its own ceiling,up,10.38,7.72,13.41,10,"a RATIO, not micrometres; this experiment; converged 10/10; restarts 114-154"
physics network / its own ceiling,down,9.79,7.23,10.81,10,"a RATIO, not micrometres; A1 Network_size_and_seed_study 50x4; converged 5/10"
