row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,2.82e-05 [1.37e-05-3.24e-05],0.00294 [0.00142-0.00332],0.271 [0.152-0.322],9.88 [7.5-11.8],241 [219-267],9.81e+03 [9.74e+03-1.01e+04]
q=2,twin,2.27e-06 [1.25e-06-2.75e-06],0.000207 [0.000111-0.000228],0.0228 [0.0109-0.0305],2.43 [1.22-3.61],469 [231-743],4.17e+03 [2.81e+03-6.96e+03]
q=4,physics,3.24e-05 [2.48e-05-3.78e-05],0.00348 [0.00266-0.00406],0.343 [0.227-0.396],10.7 [10.6-16.3],212 [198-237],3.48e+03 [3.43e+03-3.6e+03]
q=4,twin,3.06e-06 [2.3e-06-3.9e-06],0.000249 [0.000233-0.000314],0.0274 [0.0265-0.03],3.58 [2.73-4.26],908 [658-945],7.54e+03 [5.44e+03-7.61e+03]
q=6,physics,2.35e-05 [1.86e-05-2.67e-05],0.00248 [0.00196-0.00286],0.234 [0.198-0.277],14 [9.24-15.3],217 [198-226],763 [684-800]
q=6,twin,3.7e-06 [1.84e-06-3.97e-06],0.00033 [0.000197-0.000343],0.0333 [0.022-0.0447],3.29 [2.78-3.51],972 [579-1.01e+03],5.93e+03 [5.36e+03-1.03e+04]
q=8,physics,1.41e-05 [1.05e-05-4e-05],0.00149 [0.00103-0.0044],0.142 [0.115-0.395],8.38 [6.81-11.1],212 [205-250],686 [657-745]
q=8,twin,3.03e-06 [2.37e-06-5.02e-06],0.000259 [0.000204-0.000392],0.0257 [0.0237-0.0416],3.57 [2.64-3.75],594 [431-1.01e+03],6.15e+03 [5.95e+03-7.78e+03]
q=10,physics,3.64e-05 [2.06e-05-4.65e-05],0.00394 [0.00207-0.00505],0.359 [0.212-0.471],11.7 [11.6-11.7],227 [213-240],740 [672-760]
q=10,twin,2.97e-06 [2.29e-06-3.48e-06],0.000292 [0.000173-0.000352],0.0291 [0.0199-0.0301],3.69 [2.61-3.97],870 [432-1.01e+03],7.29e+03 [4e+03-7.85e+03]
q=12,physics,3.71e-05 [2.01e-05-3.73e-05],0.00393 [0.0021-0.00396],0.376 [0.192-0.378],15.5 [7.47-20.6],216 [214-230],702 [696-816]
q=12,twin,3.85e-06 [3.47e-06-4.26e-06],0.00032 [0.000307-0.000341],0.0249 [0.0242-0.0313],3.93 [3.33-4.2],962 [747-980],6.8e+03 [6.21e+03-8.33e+03]
q=14,physics,1.78e-05 [1.67e-05-5.81e-05],0.0018 [0.00174-0.00609],0.188 [0.181-0.586],14 [11.2-21.2],220 [211-258],739 [726-791]
q=14,twin,2.86e-06 [2.69e-06-3.17e-06],0.000255 [0.000212-0.00028],0.0276 [0.0214-0.0299],3.05 [2.61-3.14],646 [430-668],5.06e+03 [4.76e+03-5.45e+03]
q=16,physics,2.09e-05 [7.29e-06-4.87e-05],0.00218 [0.00073-0.00507],0.21 [0.0826-0.498],9.06 [8.56-24.3],217 [206-220],752 [716-771]
q=16,twin,3.66e-06 [3.3e-06-3.76e-06],0.000317 [0.000235-0.000363],0.0341 [0.0285-0.0353],3.66 [2.98-3.7],975 [500-1.01e+03],9.41e+03 [6.77e+03-9.56e+03]
q=18,physics,2.31e-05 [1.39e-05-2.34e-05],0.00245 [0.00142-0.00261],0.234 [0.146-0.239],10.1 [7.12-11.6],192 [190-206],647 [577-741]
q=18,twin,3.93e-06 [3.16e-06-4.23e-06],0.000316 [0.000248-0.000343],0.034 [0.0293-0.035],3.91 [3.64-3.96],1e+03 [757-1.01e+03],8.02e+03 [7.27e+03-9.78e+03]
q=20,physics,1.49e-05 [1.17e-05-3.36e-05],0.00159 [0.00126-0.00368],0.153 [0.123-0.359],12.6 [9.13-19.7],212 [198-258],639 [629-824]
q=20,twin,4.7e-06 [2.8e-06-5.27e-06],0.000307 [0.000279-0.000361],0.0326 [0.0275-0.0381],3.87 [2.82-4.07],988 [619-999],7.51e+03 [5.47e+03-8.34e+03]
straight line,straight line,0.0001306,0.0139,1.415,141.1,1.599e+04,4.561e+05
reference floor,reference floor,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05
